Site_Id,Read_Date,Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (F),Time (24:00),AirTemp (C),Year
A,1/10/2013,6.9,6.5,0.8,0.9,8,48,00:00,8.888888889,2013
A,1/11/2012,8.2,6.5,0.9,0.9,12,53,00:00,11.66666667,2012
A,1/14/2014,6.8,6.5,0.5,0.5,11,53,10:20,11.66666667,2014
A,10/13/2011,4,6.5,0.7,0.8,22,75,00:00,23.88888889,2011
A,10/13/2015,6.7,7,0.4,0.4,15,52,10:35,11.11111111,2015
A,10/7/2014,6.4,7,0.3,0.3,20,67,11:00,19.44444444,2014
A,11/12/2013,7,7,0.5,0.7,13,54,00:00,12.22222222,2013
A,11/13/2014,7.2,6.5,0.3,0.3,14,51,10:45,10.55555556,2014
A,11/17/2015,6.5,6.5,0.5,0.5,15,56,11:00,13.33333333,2015
A,11/29/2012,9,6.5,0.2,0.2,8,48,00:00,8.888888889,2012
A,12/19/2014,7.3,7,0.6,1,7,42,11:00,5.555555556,2014
A,12/8/2011,8,7,0.8,0.9,12,47,00:00,8.333333333,2011
A,2/25/2014,6,6.5,0.3,0.5,9,41,10:30,5,2014
A,2/3/2015,9.7,6.5,0.4,0.5,3,32,10:30,0,2015
A,2/9/2012,5.8,7,1,1,8,39,00:00,3.888888889,2012
A,3/24/2011,3,6.5,0.4,1,14,48,00:00,8.888888889,2011
A,3/24/2015,7.8,7,0.3,0.3,10,41,10:40,5,2015
A,4/11/2013,5.9,6,0.4,0.9,21,67,00:00,19.44444444,2013
A,4/12/2012,7,7,0.6,0.7,14,51,00:00,10.55555556,2012
A,4/21/2015,4,6.5,0.3,0.4,19,65,10:45,18.33333333,2015
A,4/28/2011,4,6.5,0.3,0.3,24,76,00:00,24.44444444,2011
A,5/10/2012,4.5,7,0.7,0.9,21,63,00:00,17.22222222,2012
A,5/20/2014,3,6.5,0.2,0.3,21,67,10:25,19.44444444,2014
A,5/26/2011,2.4,7.5,0.7,0.8,28,79,00:00,26.11111111,2011
A,5/8/2013,5.6,7,0.5,0.6,22,70,00:00,21.11111111,2013
A,6/10/2014,0,7,0.5,0.7,27,74,11:00,23.33333333,2014
A,6/11/2015,5.1,8,0.5,0.6,28,84,10:50,28.88888889,2015
A,6/13/2013,6.1,7.5,0.7,0.7,29,83,00:00,28.33333333,2013
A,6/14/2012,4.9,7,0.6,0.7,22,69,00:00,20.55555556,2012
A,6/23/2011,5.7,7.5,0.5,0.8,27,87,00:00,30.55555556,2011
A,6/24/2014,4,7,0.6,0.6,25,78,10:30,25.55555556,2014
A,7/11/2013,4.1,7,0.7,0.9,26,81,00:00,27.22222222,2013
A,7/23/2015,6,7.5,0.4,0.4,30,82,10:10,27.77777778,2015
A,7/28/2011,3.2,7.5,0.8,0.8,31,87,00:00,30.55555556,2011
A,8/12/2014,3,8,0.1,0.1,26,80,10:45,26.66666667,2014
